name,id
Amount of Farm Inventory: Winter Wheat for Grain,AmountFarmInventory_WinterWheatForGrain
Amount of Farm Inventory: Barley for Grain,Amount_FarmInventory_BarleyForGrain
Amount of Farm Inventory: Corn for Silage or Greenchop,Amount_FarmInventory_CornForSilageOrGreenchop
Amount of Farm Inventory: Cotton,Amount_FarmInventory_Cotton
Amount of Farm Inventory: Dry Edible Beans,Amount_FarmInventory_DryEdibleBeans
Amount of Farm Inventory: Durum Wheat for Grain,Amount_FarmInventory_DurumWheatForGrain
Amount of Farm Inventory: Forage,Amount_FarmInventory_Forage
Amount of Farm Inventory: Oats for Grain,Amount_FarmInventory_OatsForGrain
Amount of Farm Inventory: Other Spring Wheat for Grain,Amount_FarmInventory_OtherSpringWheatForGrain
Amount of Farm Inventory: Peanuts for Nuts,Amount_FarmInventory_PeanutsForNuts
Amount of Farm Inventory: Pima Cotton,Amount_FarmInventory_PimaCotton
Amount of Farm Inventory: Rice,Amount_FarmInventory_Rice
Amount of Farm Inventory: Sorghum for Grain,Amount_FarmInventory_SorghumForGrain
Amount of Farm Inventory: Sorghum for Silage or Greenchop,Amount_FarmInventory_SorghumForSilageOrGreenchop
Amount of Farm Inventory: Sugarbeets for Sugar,Amount_FarmInventory_SugarbeetsForSugar
Amount of Farm Inventory: Sunflower Seed,Amount_FarmInventory_SunflowerSeed
Amount of Farm Inventory: Upland Cotton,Amount_FarmInventory_UplandCotton
Amount of Farm Inventory: Wheat for Grain,Amount_FarmInventory_WheatForGrain
Amount of Farm Inventory: Corn for Grain,Amout_FarmInventory_CornForGrain
Total IUCD Insertions done,Count_BirthControlEvent_IUCDInsertion
Percent of IUCD insertions to all family planning methods,Count_BirthControlEvent_IUCDInsertion_AsFractionOf_Count_BirthControlEvent
Total Sterilisation Conducted,Count_BirthControlEvent_Sterilisation
Number of Tubectomies Conducted,Count_BirthControlEvent_Tubectomy
Number of Vasectomies Conducted,Count_BirthControlEvent_Vasectomy
